id,gm_1_ws,gm_0.9_ws,gm_0.8_ws,gm_0.7_ws,gm_0.6_ws,gm_0.5_ws,gm_0.4_ws,gm_0.3_ws,gm_0.2_ws,gm_0.1_ws,gm_0_ws,wm_-0.5mm_ws,wm_-1mm_ws,wm_-1.5mm_ws,wm_-2mm_ws,wm_-2.5mm_ws,wm_-3mm_ws,wm_-3.5mm_ws,wm_-4mm_ws,gm_0mm_ps,gm_0.25mm_ps,gm_0.5mm_ps,gm_0.75mm_ps,gm_1mm_ps,gm_1.25mm_ps,gm_1.5mm_ps,gm_1.75mm_ps,gm_2mm_ps,gm_2.25mm_ps,gm_2.5mm_ps,gm_2.75mm_ps,gm_3mm_ps,gm_3.25mm_ps,gm_3.5mm_ps,gm_3.75mm_ps,gm_4mm_ps,gm_4.25mm_ps,gm_4.5mm_ps,gm_4.75mm_ps,gm_5mm_ps,gm_5.25mm_ps,gm_5.5mm_ps,gm_5.75mm_ps,gm_6mm_ps,gm_6.25mm_ps,gm_6.5mm_ps,gm_6.75mm_ps,gm_7mm_ps
1,1.0404522,1.277297,1.3747312,1.3933334,1.3129886,1.2404854,1.2179588,1.1627029,1.092753,1.0405585,1.0914305,0.9852861,0.8745752,0.82069695,0.7297511,0.5857687,0.5780052,0.5068216,0.55127925,0.64179534,0.86346525,0.93334,0.9740791,1.0196465,0.94825196,0.86217403,0.79231673,0.69054276,0.6418201,0.5798189,0.5665221,0.5188292,0.54618573,0.57985276,0.62189007,0.657248,0.72029495,0.817728,0.8198813,0.81816477,0.83263457,0.8114024,0.77533346,0.77515113,0.77089685,0.76802045,0.7444991,0.7605007
2,1.1076896,1.1739852,1.2027662,1.1346549,1.0642918,1.0040785,0.9667268,0.8616423,0.73325896,0.6248988,0.3759631,0.13621868,-0.026930869,0.06622021,0.2242777,0.19984078,0.23791993,0.2574445,0.2682267,1.141857,1.1806173,1.0759392,0.932917,0.8544316,0.8038936,0.70203817,0.61256903,0.4892474,0.37796262,0.31065574,0.119607165,0.06627804,-0.05397803,-0.098110974,-0.08362139,-0.13634433,-0.16216654,-0.11174616,-0.06463972,-0.045767024,0.0028489092,0.0063901283,0.0065457304,0.065229535,0.06352137,0.11463487,0.15911832,0.17652062
3,-0.41224563,-0.38411102,-0.2674638,-0.2433887,-0.21081334,-0.19622093,-0.15515547,-0.19383791,-0.18170954,-0.27146623,-0.24287158,-0.2919025,-0.2585973,-0.35068315,-0.28605515,-0.25112063,-0.22749932,-0.27745026,-0.23697054,-0.57022154,-0.7159078,-0.61945105,-0.49109194,-0.31380838,-0.23884578,-0.22776039,-0.24698918,-0.18770097,-0.21297386,-0.24205492,-0.16332354,-0.16462871,-0.18106334,-0.17642125,-0.15980987,-0.19253045,-0.16805053,-0.14377607,-0.12008793,-0.08355093,-0.098919146,-0.1259276,-0.12879728,-0.09200241,-0.12648906,-0.16851936,-0.14024061,-0.13653375
4,0.3887772,0.3953976,0.35380998,0.32098502,0.28759453,0.19715616,0.122217596,0.02037587,-0.030719154,-0.08102932,-0.08692598,-0.14478727,-0.26460072,-0.26174438,-0.21707267,-0.13695227,-0.08791226,-0.043182176,0.037568074,0.117936164,0.07709888,-0.038934626,-0.025750771,-0.08173222,-0.11026954,-0.13714536,-0.18562031,-0.29029372,-0.3480823,-0.4255017,-0.5012277,-0.5956282,-0.7112459,-0.80450666,-0.8647267,-0.8620641,-0.8226551,-0.7826737,-0.70050955,-0.62205565,-0.5753925,-0.4648116,-0.36019853,-0.2879117,-0.24138777,-0.17572984,-0.108934864,-0.07851524
5,-0.9640565,-1.1753597,-1.1991571,-1.2134801,-1.0972168,-1.0206307,-0.99542844,-1.0123405,-1.1177975,-1.2069438,-1.3432924,-1.3785865,-1.372754,-1.2308395,-0.96600956,-0.6739316,-0.4709384,-0.3174092,-0.18014327,-1.1613665,-1.426313,-1.5451821,-1.6271015,-1.479206,-1.4310857,-1.4089851,-1.3182555,-1.2928255,-1.2589027,-1.1584775,-1.0534643,-1.0084523,-0.9994573,-0.98293096,-0.9304506,-0.9423379,-0.9197359,-0.901863,-0.8492164,-0.82544845,-0.7779951,-0.70588285,-0.66926426,-0.62617725,-0.5989715,-0.5285579,-0.5079234,-0.46155336
6,0.5351173,0.76104975,0.78204596,0.8547767,0.91898316,0.9322319,0.93971133,0.92594653,0.91752374,0.9219763,0.85139966,0.7571791,0.7097397,0.6490932,0.59329826,0.5021682,0.48022678,0.49086362,0.49519655,0.5273595,0.61965406,0.75314116,0.8048712,0.7616994,0.8097741,0.8200131,0.8724408,0.8931446,0.85163355,0.79717356,0.7425043,0.7196673,0.68358636,0.6695664,0.61406654,0.56523305,0.5133176,0.48848805,0.4090794,0.35281634,0.31517032,0.25639296,0.25014403,0.24223192,0.2337795,0.21638343,0.22985944,0.21483667
7,-0.54522955,-0.530629,-0.41801465,-0.32262883,-0.18207589,-0.18106185,-0.13509415,-0.11839555,-0.22490174,-0.36539084,-0.44427222,-0.59026,-0.6166396,-0.53051084,-0.4593067,-0.40746844,-0.42180154,-0.47402316,-0.5122395,-0.72775155,-0.6228719,-0.46756592,-0.36578178,-0.24756671,-0.193611,-0.1637062,-0.14867565,-0.16583775,-0.20555077,-0.24095169,-0.2990848,-0.33661819,-0.3526109,-0.37921655,-0.4490156,-0.4568748,-0.462356,-0.4591084,-0.4518181,-0.42716187,-0.40839574,-0.3876728,-0.366879,-0.35885113,-0.3901781,-0.3909501,-0.39382577,-0.41603613
8,-0.19371827,0.1631272,0.4477172,0.56552213,0.6556048,0.69919854,0.76915926,0.8509185,0.8921508,0.95450765,0.84881526,0.7793331,0.73278624,0.7455234,0.72342426,0.59130174,0.44472817,0.16833596,-0.018363424,-0.0152917085,0.25335613,0.41114363,0.5231364,0.55006266,0.5649335,0.59988225,0.6035668,0.6168958,0.64681745,0.682443,0.686882,0.7486848,0.8186915,0.91038394,0.9605524,1.0274838,1.069425,1.0991557,1.084933,1.0642345,1.0029236,0.866242,0.774962,0.71380943,0.6713581,0.59872454,0.486635,0.41482973
9,-0.607518,-0.96447355,-1.2215087,-1.3525212,-1.4607351,-1.4872911,-1.4956028,-1.6166928,-1.7278738,-1.9145299,-2.0489514,-2.1502347,-2.1929111,-2.1533422,-2.0353684,-1.8999032,-1.8009423,-1.658757,-1.5139078,-0.5488948,-0.9190345,-1.2305852,-1.4056942,-1.4837687,-1.5965837,-1.5525911,-1.5410321,-1.4642653,-1.4079831,-1.3515621,-1.3371893,-1.3855021,-1.4000465,-1.4322965,-1.4858865,-1.541015,-1.6079286,-1.677736,-1.6990746,-1.6767336,-1.6763178,-1.6868411,-1.6552184,-1.5935459,-1.489395,-1.4729156,-1.4152607,-1.3723532
10,0.26819357,0.22777295,0.23184241,0.33948004,0.44213077,0.4525201,0.46814036,0.37307638,0.29332832,0.21825787,0.05373602,0.062371727,-0.041618567,-0.14646819,-0.25130102,-0.30482835,-0.32012782,-0.25774467,-0.25161415,0.14801954,0.54242605,0.7413175,0.7866102,0.88119245,0.74582154,0.584748,0.50356776,0.37985826,0.3809387,0.34221622,0.41737273,0.44597164,0.3861124,0.39490438,0.36392578,0.31536072,0.20785852,0.103310294,0.043999165,-0.06499056,-0.14071922,-0.22396886,-0.2420957,-0.2727934,-0.30388367,-0.29539824,-0.24711005,-0.2606206
